,Pos,Team,Weighted Matches,Points,Rating
0,1,Pakistan,31,"8,366",270
1,2,Australia,26,"6,986",269
2,3,England,21,"5,568",265
3,4,South Africa,18,"4,720",262
4,5,India,36,"9,349",260
5,6,New Zealand,24,"6,056",252
6,7,Sri Lanka,27,"6,413",238
7,8,Afghanistan,20,"4,694",235
8,9,Bangladesh,23,"5,212",227
9,10,West Indies,24,"5,378",224
10,11,Zimbabwe,21,"4,082",194
11,12,Nepal,21,"3,962",189
12,13,Scotland,23,"4,310",187
13,14,Ireland,36,"6,626",184
14,15,UAE,26,"4,781",184
15,16,Netherlands,31,"5,546",179
16,17,Oman,18,"3,182",177
17,18,Papua New Guinea,30,"5,273",176
18,19,Namibia,25,"3,729",149
19,20,Hong Kong,19,"2,725",143
20,21,Singapore,22,"2,949",134
21,22,Qatar,21,"2,749",131
22,23,Canada,19,"2,399",126
23,24,Saudi Arabia,11,"1,331",121
24,25,Kenya,18,"2,058",114
25,26,Jersey,25,"2,848",114
26,27,Italy,12,"1,326",111
27,28,Kuwait,13,"1,354",104
28,29,Denmark,14,"1,436",103
29,30,Bermuda,13,"1,202",92
30,31,Germany,18,"1,538",85
31,32,Norway,10,809,81
32,33,United States,15,"1,208",81
33,34,Botswana,19,"1,494",79
34,35,Ghana,10,773,77
35,36,Uganda,14,"1,069",76
36,37,Austria,11,778,71
37,38,Romania,6,419,70
38,39,Malaysia,26,"1,771",68
39,40,Nigeria,16,"1,058",66
40,41,Guernsey,16,"1,022",64
41,42,Sweden,8,465,58
42,43,Tanzania,6,334,56
43,44,Spain,16,873,55
44,45,Cayman Islands,8,430,54
45,46,Philippines,9,433,48
46,47,Argentina,17,771,45
47,48,France,6,267,45
48,49,Vanuatu,20,864,43
49,50,Belize,9,377,42
50,51,Luxembourg,10,407,41
51,52,Bahrain,7,261,37
52,53,Peru,13,458,35
53,54,Fiji,6,210,35
54,55,Panama,9,291,32
55,56,Belgium,9,290,32
56,57,Japan,10,317,32
57,58,Samoa,10,317,32
58,59,Costa Rica,8,252,32
59,60,Mexico,17,520,31
60,61,Hungary,6,180,30
61,62,Mozambique,12,352,29
62,63,Czech Republic,17,480,28
63,64,Thailand,14,369,26
64,65,Malawi,12,297,25
65,66,Israel,7,173,25
66,67,Portugal,9,215,24
67,68,Finland,13,296,23
68,69,Bhutan,8,180,23
69,70,South Korea,10,217,22
70,71,Isle of Man,7,149,21
71,72,Chile,14,265,19
72,73,Bulgaria,5,68,14
73,74,Sierra Leone,5,61,12
74,75,Brazil,13,143,11
75,76,Maldives,11,114,10
76,77,Saint Helena,12,109,9
77,78,Malta,13,108,8
78,79,Myanmar,9,23,3
79,80,Indonesia,7,3,0
80,81,Gibraltar,12,0,0
81,82,Lesotho,6,0,0
82,83,Rwanda,6,0,0
83,84,Swaziland,6,0,0
84,85,Gambia,6,0,0
85,86,China,11,0,0
